UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,(*)Production_Qty,(*)Availability,(*)Quality_Rate,(*)Defect_Rate,(*)Power_Consumption,(*)Performance,(*)OEE,(*)Risk_Level,(*)Maintenance_Priority,(*)Equipment_ID,(*)Line
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,120,97.44,99.44,0.560000000000002,66.3828,86.1666666666667,83.49061952,Medium,Plan,MC-1,Line 102
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,119.55,96.62,98.37,1.63,65.1904,78.2222222222222,74.34638464,Medium,Plan,MC-2,Line 101
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,119.25,95.92,97.48,2.52,74.0012,83.2222222222222,77.8151213155556,Medium,Plan,MC-3,Line 101
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,118.95,97.62,100,0,56.6035,79.6111111111111,77.7163666666667,Medium,Plan,MC-4,Line 101
5,L47184,L,298.2,308.7,1408,40,9,0,0,0,0,0,0,118.65,97.64,100,0,56.32,78.2222222222222,76.3761777777778,Medium,Plan,MC-5,Line 101
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,118.35,97.18,99.71,0.289999999999992,59.7075,79.1666666666667,76.7110575833333,Medium,Plan,MC-6,Line 102
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,117.9,96.96,99.56,0.439999999999998,66.0592,86.5555555555556,83.5549998933333,Medium,Plan,MC-7,Line 101
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,117.6,97.32,100,0,61.3854,84.8333333333333,82.5598,Medium,Plan,MC-8,Line 101
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,117.3,95,100,0,47.6762,92.6111111111111,87.9805555555556,Low,Normal,MC-9,Line 102
10,M14869,M,298.5,309,1741,28,21,0,0,0,0,0,0,116.85,94.76,100,0,48.748,96.7222222222222,91.6539777777778,Low,Normal,MC-10,Line 102
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,116.4,93.82,100,0,42.5898,99,92.8818,Low,Normal,MC-11,Line 201
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,115.65,95.98,98.89,1.11,63.0389,79.0555555555556,75.0352817255556,Medium,Plan,MC-12,Line 201
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,114.9,94.42,96.85,3.15000000000001,68.4229,74.3888888888889,68.0254922388889,Warning,Normal,MC-13,Line 102
14,M14873,M,298.6,309.2,1742,30,37,0,0,0,0,0,0,114.45,94.52,100,0,52.26,96.7777777777778,91.4743555555555,Low,Normal,MC-14,Line 102
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,114,92.32,100,0,39.886,100,92.32,Low,Normal,MC-15,Line 101
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,113.7,94.64,97.64,2.36,74.6328,85.6666666666667,79.1615649066667,Medium,Plan,MC-16,Line 101
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,113.4,94.92,98.18,1.82000000000001,61.0926,72.8333333333333,67.87517212,Warning,Normal,MC-17,Line 102
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,112.95,95,98.48,1.52000000000001,64.296,78.3333333333333,73.2855333333333,Medium,Plan,MC-18,Line 102
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,112.5,93.1,95.81,4.19,71.177,72.5555555555556,64.7189098111111,Warning,Normal,MC-19,Line 201
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,111.75,94.3,100,0,53.04,90.6666666666667,85.4986666666667,Low,Normal,MC-20,Line 102
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,111.3,95.14,99.33,0.670000000000002,58.7125,76.3888888888889,72.1894570833333,Medium,Plan,MC-21,Line 201
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,110.55,94.52,98.7,1.3,64.96,80.5555555555556,75.1512766666667,Medium,Plan,MC-22,Line 101
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,110.25,93.54,100,0,48.5367,87.8333333333333,82.1593,Medium,Plan,MC-23,Line 102
24,L47203,L,299,309.4,1758,25.7,68,0,0,0,0,0,0,109.8,92.42,100,0,45.1806,97.6666666666667,90.2635333333333,Low,Normal,MC-24,Line 101
